문제ID,실전,난이도,내용,OCR답
PRACTICAL_VT_013,실전,VERY TOUGH,"산의 정상을 향해 올라갈 때는 시속 $3\mathrm{km}$로 걷고, 내려올 때는 다른 길을 택하여 시속 $5\mathrm{km}$로 걸어서 총 $4$시간이 걸렸다. 전체 걸은 거리가 $16\mathrm{km}$일 때, 내려온 거리를 $a\mathrm{km}$, 올라간 거리를 $b\mathrm{km}$라 하자. $a-b$의 값을 구하시오.",4
PRACTICAL_VT_014,실전,VERY TOUGH,"어떤 상품의 가격을 $100$원이라 하면 하루에 $400$개가 팔린다. 이 상품의 가격을 $x$원 내릴 때마다 하루 판매량은 $10x$개씩 늘어난다고 한다. 하루 판매액이 최대가 되게 하는 상품의 정가를 $P$원이라 할 때, $\frac{P}{10}$의 값을 구하시오.",7
PRACTICAL_VT_015,실전,VERY TOUGH,"두 분수 $\frac{11}{140}$과 $\frac{13}{150}$의 어느 것에 곱하여도 그 결과가 유한소수가 되게 하는 가장 작은 자연수를 $k$라 할 때, $k$의 각 자리 숫자의 합을 구하시오.",3
PRACTICAL_VT_016,실전,VERY TOUGH,"서로 다른 두 개의 주사위를 동시에 던져 나오는 눈의 수를 각각 $a, b$라 할 때, 일차방정식 $ax = b$의 해가 $1$보다 작을 확률은 $\frac{q}{p}$이다. 서로소인 두 자연수 $p, q$에 대하여 $p-q$의 값을 구하시오.",7
PRACTICAL_VT_017,실전,VERY TOUGH,"일차함수 $f(x) = ax+b$가 모든 실수 $x$에 대하여 $f(f(x)) = 4x - 9$를 만족시키고 $f(1) > 0$일 때, $f(2)$의 값을 구하시오. (단, $a, b$는 상수)",5
PRACTICAL_VT_018,실전,VERY TOUGH,"시계가 $4$시 $x$분을 가리킬 때, 시침과 분침이 서로 반대 방향으로 일직선을 이룬다. 이때 $\frac{11x}{100}$의 값을 구하시오.",6
PRACTICAL_VT_019,실전,VERY TOUGH,"이차방정식 $x^2 - 7x + 3 = 0$의 두 근을 $\alpha, \beta$라 할 때, $\alpha^2 + \beta^2$의 값의 일의 자리 숫자를 구하시오.",3
PRACTICAL_VT_020,실전,VERY TOUGH,"방정식 $\sqrt{x^2 - 10x + 25} + \sqrt{x^2 + 4x + 4} = 7$을 만족시키는 정수 $x$의 개수를 구하시오.",8
PRACTICAL_VT_021,실전,VERY TOUGH,"네 점 $O(0,0), A(6,0), B(6,4), C(0,4)$를 꼭짓점으로 하는 직사각형의 넓이를 일차함수 $y = ax - 1$의 그래프가 이등분할 때, 상수 $a$의 값을 구하시오.",1
PRACTICAL_VT_022,실전,VERY TOUGH,"두 분수 $\frac{4}{27}$와 $\frac{5}{11}$를 각각 소수로 나타내었을 때, 소수점 아래 $50$번째 자리의 숫자를 각각 $a, b$라 하자. 이때 $a+b$의 값을 구하시오.",9
PRACTICAL_VT_023,실전,VERY TOUGH,"$A, B, C, D, E$ $5$명의 학생이 일렬로 설 때, $A$와 $B$는 서로 이웃하고 $C$는 양 끝 중 한 곳에 설 확률은 $\frac{q}{p}$이다. 서로소인 두 자연수 $p, q$에 대하여 $p-q$의 값을 구하시오.",4
PRACTICAL_VT_024,실전,VERY TOUGH,"가로의 길이가 $20\mathrm{m}$, 세로의 길이가 $15\mathrm{m}$인 직사각형 모양의 꽃밭에 폭이 $x\mathrm{m}$로 일정한 십자형(가로 1줄, 세로 1줄) 길을 내었더니 길을 제외한 꽃밭의 넓이가 $204\mathrm{m}^2$가 되었다. 이때 폭 $x$의 값을 구하시오.",3
PRACTICAL_VT_025,실전,VERY TOUGH,"자연수 $x, y$에 대하여 다항식 $2x^2 - xy - 3y^2$의 값이 $13$일 때, $x-y$의 값을 구하시오.",3
